EMPID,STATUS,TITLE,DEPARTMENT,FUNCTION,DIVISION,UNION_STATUS,EMPLOYMENT_CATEGORY,AGE,GENERATION,PAY_SCALE_GROUP,GENDER,ETHNIC_ORIGIN,ACTION_REASON,LAST_PERFORMANCE_RATING,LAST_POTENTIAL_RATING,EMPLOYEE_PAY_FREQUENCY,EMPLOYEE_PAY_BASIS,MANAGER_ID,ACTION_TYPE
1639,Terminated,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,19,Generation Y,Not Assigned,Male,X,Resigned - Job Abandonment,No Rating,No Rating,Weekly,Daily,S867,Voluntary Separation
1646,Active,Merchandiser,Sales-West,Sales,Sales,Union,Regular Employee FT,19,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2466,
1653,Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee PT,19,Generation Y,Group C,Male,H,,No Rating,No Rating,Bi-Weekly,Hourly,S3196,
1660,Active,Marketing Representative,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,20,Generation Y,Group C,Female,B,,No Rating,No Rating,Bi-Weekly,Hourly,S3290,
1667,Active,Laborer,Operations-East,Operations,Product,Union,Regular Employee PT,20,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S1805,
1674,Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,20,Generation Y,Not Assigned,Male,X,,Too New,Not assigned,Weekly,Hourly,S3487,
1681,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,20,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Daily,S455,
1688,Terminated,Merchandiser,Operations-East,Operations,Product,Non-Union,Regular Employee FT,19,Generation Y,Group C,Male,W,Resigned - Personal Reasons,No Rating,No Rating,Bi-Weekly,Hourly,S384,Voluntary Separation
1695,Terminated,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,19,Generation Y,Group C,Male,B,Resigned - Personal Reasons,No Rating,No Rating,Bi-Weekly,Hourly,S2985,Voluntary Separation
1702,Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee PT,20,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2725,
1709,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,20,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S363,
1716,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,20,Generation Y,Group C,Male,W,,No Rating,No Rating,Weekly,Hourly,S3789,
1723,Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,19,Generation Y,Group C,Male,W,Resigned - Personal Reasons,No Rating,No Rating,Bi-Weekly,Hourly,S1893,Voluntary Separation
1730,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,20,Generation Y,Group C,Male,W,,Developing/Meets Some,Not assigned,Bi-Weekly,Hourly,S2479,
1737,Active,Driver,Operations-East,Operations,Product,Union,Regular Employee FT,20,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S284,
1744,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,20,Generation Y,Group C,Male,W,,Developing/Meets Some,Not assigned,Bi-Weekly,Daily,S538,
1751,Active,Operator,Support,Support,Product,Non-Union,Regular Employee FT,20,Generation Y,Group C,Male,H,,No Rating,No Rating,Weekly,Hourly,S4010,
1758,Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,20,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2816,
1765,Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,20,Generation Y,Group C,Male,W,Resigned - Pay/Benefits,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2146,Voluntary Separation
1772,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,20,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Daily,S35,
1779,Terminated,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,19,Generation Y,Group C,Male,H,Resigned during investigation,Too New,Not assigned,Bi-Weekly,Hourly,S2674,Voluntary Separation
1786,Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee PT,20,Generation Y,Group C,Male,B,,No Rating,No Rating,Bi-Weekly,Hourly,S1978,
1793,Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,20,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2114,
1800,Active,Laborer,Operations-East,Operations,Product,Union,Regular Employee PT,20,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S1283,
1807,Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,20,Generation Y,Group C,Male,H,,Successfully Meets Expectations,Not assigned,Weekly,Hourly,S3715,
1814,Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,20,Generation Y,Group C,Male,X,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S3001,
1821,Terminated,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,20,Generation Y,Group C,Male,W,Resigned - Career Prospects,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2713,Voluntary Separation
1828,Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,20,Generation Y,Group C,Male,W,Resigned - Job Abandonment,No Rating,No Rating,Bi-Weekly,Hourly,S3099,Voluntary Separation
1835,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S1910,
1842,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2516,
1849,Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee PT,21,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S1223,
1856,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Daily,S229,
1863,Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2727,
1870,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S3099,
1877,Terminated,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,20,Generation Y,Group C,Male,W,Resigned - Career Prospects,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S1081,Voluntary Separation
1884,Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee PT,21,Generation Y,Not Assigned,Female,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2360,
1891,Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,21,Generation Y,Not Assigned,Female,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2641,
1898,Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,W,,Too New,Not assigned,Bi-Weekly,Hourly,S3060,
1905,Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,21,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Weekly,Hourly,S3641,
1912,Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,20,Generation Y,Group C,Male,W,Resigned - Career Prospects,No Rating,No Rating,Bi-Weekly,Hourly,S1894,Voluntary Separation
1919,Active,Operator,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,H,,No Rating,No Rating,Weekly,Hourly,S3868,
1926,Active,Laborer,Operations-East,Operations,Product,Union,Regular Employee FT,21,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2069,
1933,Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee PT,21,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2381,
1940,Terminated,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,20,Generation Y,Group C,Male,W,Resigned - Job Abandonment,Too New,Not assigned,Bi-Weekly,Hourly,S2713,Voluntary Separation
1947,Terminated,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,W,Resigned - Job Abandonment,No Rating,No Rating,Bi-Weekly,Hourly,S2943,Voluntary Separation
1954,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,W,,No Rating,No Rating,Weekly,Hourly,S3780,
1961,Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,B,,Developing/Meets Some,Not assigned,Bi-Weekly,Hourly,S2740,
1968,Active,Merchandiser,Sales-East,Sales,Sales,Union,Regular Employee PT,21,Generation Y,Not Assigned,Male,H,,No Rating,No Rating,Weekly,Hourly,S3701,
1975,Active,Operator,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,H,,Does Not Meet,Not assigned,Bi-Weekly,Hourly,S1508,
1982,Active,Mechanic,Support,Support,Product,Union,Regular Employee FT,21,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S1334,
1989,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Daily,S556,
1996,Terminated,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,H,Resigned - Personal Reasons,No Rating,No Rating,Weekly,Hourly,S3659,Voluntary Separation
2003,Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,H,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2407,
2010,Terminated,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee PT,21,Generation Y,Not Assigned,Female,B,Resigned - Job Abandonment,No Rating,No Rating,Bi-Weekly,Hourly,S2639,Voluntary Separation
2017,Active,Merchandiser,Operations-East,Operations,Product,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,H,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S384,
2024,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,21,Generation Y,Group C,Male,H,,Too New,Not assigned,Bi-Weekly,Hourly,S640,
2031,Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,H,,No Rating,No Rating,Weekly,Hourly,S3451,
2038,Terminated,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,21,Generation Y,Group C,Male,W,Resigned - Career Prospects,Too New,Not assigned,Bi-Weekly,Hourly,S2060,Voluntary Separation
2045,Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,20,Generation Y,Group C,Male,H,Resigned - Career Prospects,Successfully Meets Expectations,Not assigned,Bi-Weekly,Daily,S682,Voluntary Separation
2052,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,B,,No Rating,No Rating,Bi-Weekly,Hourly,S1168,
2059,Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee PT,21,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2550,
2066,Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,21,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2709,
2073,Terminated,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Group C,Female,B,Resign in lieu of termination,Does Not Meet,Not assigned,Bi-Weekly,Hourly,S2412,Voluntary Separation
2080,Active,Staff Associate,Sales-West,Sales,Sales,Union,Regular Employee FT,21,Generation Y,Group C,Male,U,,No Rating,No Rating,Bi-Weekly,Hourly,S3202,
2087,Terminated,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,21,Generation Y,Group C,Male,B,Resigned - Personal Reasons,Developing/Meets Some,Not assigned,Bi-Weekly,Hourly,S2506,Voluntary Separation
2094,Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,X,,Developing/Meets Some,Not assigned,Bi-Weekly,Hourly,S2632,
2101,Terminated,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,W,Resigned - Career Prospects,Developing/Meets Some,Not assigned,Weekly,Hourly,S3497,Voluntary Separation
2108,Active,Marketing Representative,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,22,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S3239,
2115,Terminated,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,H,Resigned - Career Prospects,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S1857,Voluntary Separation
2122,Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,21,Generation Y,Group C,Male,W,Resigned - Pay/Benefits,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2182,Voluntary Separation
2129,Active,Analyst,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,22,Generation Y,Group C,Female,H,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2436,
2136,Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee PT,22,Generation Y,Group C,Male,B,,No Rating,No Rating,Bi-Weekly,Hourly,S1443,
2143,Terminated,Sales Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Group C,Female,H,Resigned - Personal Reasons,No Rating,No Rating,Monthly,Salary,S5165,Voluntary Separation
2150,Active,Technician,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,22,Generation Y,Group C,Female,B,,No Rating,No Rating,Bi-Weekly,Hourly,S1705,
2157,Terminated,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,21,Generation Y,Group C,Male,B,Resigned - Job Abandonment,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S644,Voluntary Separation
2164,Terminated,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee PT,21,Generation Y,Group C,Male,B,Resigned - Career Prospects,No Rating,No Rating,Bi-Weekly,Hourly,S1393,Voluntary Separation
2171,Active,Laborer,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,B,,No Rating,No Rating,Weekly,Hourly,S3960,
2178,Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,B,,No Rating,No Rating,Bi-Weekly,Hourly,S2684,
2185,Terminated,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,21,Generation Y,Group C,Female,H,Resigned - Personal Reasons,No Rating,No Rating,Bi-Weekly,Hourly,S2573,Voluntary Separation
2192,Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,H,Resigned - Career Prospects,Too New,Not assigned,Bi-Weekly,Daily,S682,Voluntary Separation
2199,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,22,Generation Y,Group C,Male,B,,No Rating,No Rating,Weekly,Hourly,S3583,
2206,Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,H,Resigned - Personal Reasons,Too New,Not assigned,Bi-Weekly,Daily,S175,Voluntary Separation
2213,Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,22,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S76,
2220,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,22,Generation Y,Group C,Male,X,,No Rating,No Rating,Bi-Weekly,Hourly,S352,
2227,Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,H,,Does Not Meet,Not assigned,Bi-Weekly,Hourly,S2153,
2234,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,B,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2547,
2241,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,22,Generation Y,Group C,Male,B,,No Rating,No Rating,Bi-Weekly,Hourly,S378,
2248,Active,Operator,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2065,
2255,Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,21,Generation Y,Group C,Male,H,Resigned - Career Prospects,Too New,Not assigned,Bi-Weekly,Hourly,S690,Voluntary Separation
2262,Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,W,Resigned - Career Prospects,No Rating,No Rating,Bi-Weekly,Hourly,S1362,Voluntary Separation
2269,Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,H,,Developing/Meets Some,Not assigned,Bi-Weekly,Hourly,S2433,
2276,Terminated,Laborer,Operations-East,Operations,Product,Union,Regular Employee FT,21,Generation Y,Not Assigned,Male,W,Resigned - Job Abandonment,No Rating,No Rating,Bi-Weekly,Hourly,S989,Voluntary Separation
2283,Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,22,Generation Y,Not Assigned,Male,H,,No Rating,No Rating,Weekly,Hourly,S3642,
2290,Active,Laborer,Operations-East,Operations,Product,Union,Regular Employee PT,22,Generation Y,Not Assigned,Male,H,,No Rating,No Rating,Bi-Weekly,Hourly,S1657,
2297,Active,Administrator,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,22,Generation Y,Group C,Female,H,,No Rating,No Rating,Weekly,Hourly,S3721,
2304,Active,Technician,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,22,Generation Y,Group C,Female,W,,Successfully Meets Expectations,Not assigned,Weekly,Hourly,S3809,
2311,Active,Merchandiser,Operations-East,Operations,Product,Non-Union,Regular Employee PT,22,Generation Y,Group C,Male,W,,Too New,Not assigned,Bi-Weekly,Hourly,S1276,
2318,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,22,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2500,
2325,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,P,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2036,
2332,Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,H,,Developing/Meets Some,Not assigned,Weekly,Hourly,S3683,
2339,Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,21,Generation Y,Group C,Male,W,Resigned - Personal Reasons,No Rating,No Rating,Bi-Weekly,Hourly,S523,Voluntary Separation
2346,Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee PT,22,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S569,
2353,Terminated,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,21,Generation Y,Group C,Male,W,Resigned - Personal Reasons,Too New,Not assigned,Bi-Weekly,Hourly,S356,Voluntary Separation
2360,Terminated,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,21,Generation Y,Group C,Male,H,Resigned - Personal Reasons,No Rating,No Rating,Bi-Weekly,Hourly,S2796,Voluntary Separation
2367,Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2433,
2374,Terminated,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee PT,21,Generation Y,Group C,Male,W,Resigned - Career Prospects,No Rating,No Rating,Bi-Weekly,Hourly,S2424,Voluntary Separation
2381,Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,P,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2050,
2388,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,22,Generation Y,Group C,Male,B,,No Rating,No Rating,Bi-Weekly,Hourly,S240,
2395,Terminated,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee PT,21,Generation Y,Group C,Male,W,Resigned - Personal Reasons,No Rating,No Rating,Bi-Weekly,Hourly,S2548,Voluntary Separation
2402,Terminated,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,H,Resigned - Personal Reasons,No Rating,No Rating,Bi-Weekly,Hourly,S1294,Voluntary Separation
2409,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,H,,Meets & Exceeds,Emerging Talent,Bi-Weekly,Daily,S200,
2416,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,H,,No Rating,No Rating,Weekly,Hourly,S3533,
2423,Active,Merchandiser,Sales-East,Sales,Sales,Union,Regular Employee FT,22,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Weekly,Hourly,S3255,
2430,Terminated,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,21,Generation Y,Group C,Male,W,Resigned - Career Prospects,Developing/Meets Some,Not assigned,Bi-Weekly,Hourly,S105,Voluntary Separation
2437,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,22,Generation Y,Group C,Male,H,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S678,
2444,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,W,,Too New,Emerging Talent,Bi-Weekly,Daily,S546,
2451,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,H,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Daily,S451,
2458,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,B,,No Rating,No Rating,Bi-Weekly,Hourly,S2547,
2465,Active,Marketing Representative,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S3042,
2472,Active,Merchandiser,Sales-West,Sales,Sales,Union,Regular Employee FT,22,Generation Y,Not Assigned,Male,H,,No Rating,No Rating,Weekly,Hourly,S3763,
2479,Active,Merchandiser,Sales-East,Sales,Sales,Union,Regular Employee FT,22,Generation Y,Group E,Male,W,,No Rating,No Rating,Weekly,Hourly,S3624,
2486,Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2531,
2493,Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,21,Generation Y,Group C,Male,H,Resigned - Personal Reasons,Too New,Not assigned,Bi-Weekly,Hourly,S240,Voluntary Separation
2500,Terminated,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,H,Resigned - Personal Reasons,Developing/Meets Some,Not assigned,Weekly,Hourly,S3540,Voluntary Separation
2507,Active,Laborer,Operations-East,Operations,Product,Union,Regular Employee FT,22,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Weekly,Hourly,S3741,
2514,Active,Merchandiser,Sales-West,Sales,Sales,Union,Regular Employee FT,22,Generation Y,Not Assigned,Male,H,,No Rating,No Rating,Weekly,Hourly,S3582,
2521,Active,Account Manager,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2253,
2528,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,22,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Weekly,Hourly,S3765,
